t,x,y,z,ux,uy,uz,t1,t2,t3
0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.001,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.001,0.002
0.002,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.002,0.005
0.003,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.003,0.007
0.004,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.004,0.009
0.006,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.006,0.011
0.007,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.007,0.013
0.008,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.008,0.016
0.009,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.009,0.018
0.010,20.000,0.000,0.000,0.000,-1.000,2.000,0.000,-0.010,0.020
0.011,19.999,0.000,0.000,0.000,-1.000,2.000,0.000,-0.011,0.022
0.012,19.999,0.000,0.000,0.000,-1.000,2.000,0.000,-0.012,0.024
0.013,19.999,0.000,0.000,0.000,-1.000,2.000,0.000,-0.013,0.026
0.014,19.999,0.000,0.000,0.000,-1.000,2.000,0.000,-0.014,0.029
0.016,19.999,0.000,0.000,0.000,-1.000,2.000,0.000,-0.016,0.031
0.017,19.999,0.000,0.000,0.000,-1.000,2.000,0.000,-0.017,0.034
0.018,19.998,0.000,0.000,0.000,-1.000,2.000,0.000,-0.018,0.036
0.019,19.998,0.000,0.000,0.000,-1.000,2.000,0.000,-0.019,0.038
0.020,19.998,0.000,0.000,0.000,-1.000,2.000,0.000,-0.020,0.041
0.021,19.995,0.000,0.000,0.000,-11.079,22.160,0.000,-0.032,0.065
0.022,19.990,0.000,0.000,0.000,-11.079,22.160,0.000,-0.045,0.089
0.024,19.984,0.000,0.000,0.000,-11.079,22.160,0.000,-0.057,0.114
0.025,19.976,0.000,0.000,0.000,-11.079,22.160,0.000,-0.069,0.138
0.026,19.967,0.000,0.000,0.000,-11.079,22.160,0.000,-0.081,0.162
0.027,19.956,0.000,0.000,0.000,-11.079,22.160,0.000,-0.094,0.188
0.028,19.943,0.000,0.000,0.000,-11.079,22.160,0.000,-0.107,0.214
0.029,19.929,0.000,0.000,0.000,-11.079,22.160,0.000,-0.120,0.239
0.030,19.913,0.000,0.000,0.000,-11.079,22.160,0.000,-0.132,0.265
0.032,19.895,0.000,0.000,0.000,-11.079,22.160,0.000,-0.145,0.290
0.033,19.875,0.000,0.000,0.000,-11.079,22.160,0.000,-0.158,0.316
0.034,19.855,0.000,0.000,0.000,-11.079,22.160,0.000,-0.171,0.342
0.035,19.833,0.000,0.000,0.000,-11.079,22.160,0.000,-0.183,0.366
0.036,19.809,0.000,0.000,0.000,-11.079,22.160,0.000,-0.196,0.391
0.037,19.784,0.000,0.000,0.000,-11.079,22.160,0.000,-0.208,0.417
0.038,19.757,0.000,0.000,0.000,-11.079,22.160,0.000,-0.221,0.442
0.039,19.730,0.000,0.000,0.000,-11.079,22.160,0.000,-0.233,0.466
0.041,19.701,0.000,0.000,0.000,-11.079,22.160,0.000,-0.245,0.491
0.042,19.698,0.000,0.000,0.000,-0.786,1.574,0.000,-0.246,0.492
0.043,19.696,0.000,0.000,0.000,-0.786,1.574,0.000,-0.247,0.494
0.044,19.694,0.000,0.000,0.000,-0.786,1.574,0.000,-0.248,0.496
0.045,19.692,0.000,0.000,0.000,-0.786,1.574,0.000,-0.249,0.498
0.046,19.690,0.000,0.000,0.000,-0.786,1.574,0.000,-0.250,0.500
0.047,19.687,0.000,0.000,0.000,-0.786,1.574,0.000,-0.251,0.501
0.049,19.685,0.000,0.000,0.000,-0.786,1.574,0.000,-0.252,0.503
0.050,19.683,0.000,0.000,0.000,-0.786,1.574,0.000,-0.252,0.505
0.051,19.681,0.000,0.000,0.000,-0.786,1.574,0.000,-0.253,0.507
0.052,19.679,0.000,0.000,0.000,-0.786,1.574,0.000,-0.254,0.508
0.053,19.676,0.000,0.000,0.000,-0.786,1.574,0.000,-0.255,0.510
0.054,19.674,0.000,0.000,0.000,-0.786,1.574,0.000,-0.256,0.512
0.055,19.672,0.000,0.000,0.000,-0.786,1.574,0.000,-0.257,0.514
0.056,19.670,0.000,0.000,0.000,-0.786,1.574,0.000,-0.258,0.515
0.057,19.668,0.000,0.000,0.000,-0.786,1.574,0.000,-0.259,0.517
0.059,19.665,0.000,0.000,0.000,-0.786,1.574,0.000,-0.259,0.519
0.060,19.663,0.000,0.000,0.000,-0.786,1.574,0.000,-0.260,0.521
0.061,19.661,0.000,0.000,0.000,-0.786,1.574,0.000,-0.261,0.522
0.062,19.659,0.000,0.000,0.000,-0.694,1.389,0.000,-0.262,0.524
0.063,19.657,0.000,0.000,0.000,-0.694,1.389,0.000,-0.263,0.526
0.064,19.655,0.000,0.000,0.000,-0.694,1.389,0.000,-0.263,0.527
0.065,19.653,0.000,0.001,0.000,-0.694,1.389,0.000,-0.264,0.529
0.066,19.651,0.000,0.001,0.000,-0.694,1.389,0.000,-0.265,0.530
0.068,19.649,0.000,0.001,0.000,-0.694,1.389,0.000,-0.266,0.532
0.069,19.647,0.000,0.001,0.000,-0.694,1.389,0.000,-0.267,0.533
0.070,19.644,0.000,0.001,0.000,-0.694,1.389,0.000,-0.267,0.535
0.071,19.642,0.000,0.001,0.000,-0.694,1.389,0.000,-0.268,0.536
0.072,19.640,0.000,0.001,0.000,-0.694,1.389,0.000,-0.269,0.538
0.073,19.638,0.000,0.001,0.000,-0.694,1.389,0.000,-0.270,0.540
0.074,19.636,0.000,0.001,0.000,-0.694,1.389,0.000,-0.271,0.541
0.075,19.634,0.000,0.001,0.000,-0.694,1.389,0.000,-0.271,0.543
0.076,19.632,0.000,0.001,0.000,-0.694,1.389,0.000,-0.272,0.544
0.078,19.630,0.000,0.001,0.000,-0.694,1.389,0.000,-0.273,0.546
0.079,19.628,0.000,0.001,0.000,-0.694,1.389,0.000,-0.274,0.547
0.080,19.626,0.000,0.001,0.000,-0.694,1.389,0.000,-0.274,0.549
0.081,19.624,0.000,0.001,0.000,-0.694,1.389,0.000,-0.275,0.550
0.082,19.622,0.000,0.001,0.000,-0.661,1.324,0.000,-0.276,0.552
0.083,19.620,0.000,0.001,0.000,-0.661,1.324,0.000,-0.277,0.553
0.084,19.617,0.000,0.001,0.000,-0.661,1.324,0.000,-0.277,0.555
0.085,19.615,0.000,0.001,0.000,-0.661,1.324,0.000,-0.278,0.556
0.087,19.613,0.000,0.001,0.000,-0.661,1.324,0.000,-0.279,0.558
0.088,19.611,0.000,0.001,0.000,-0.661,1.324,0.000,-0.280,0.559
0.089,19.609,0.000,0.001,0.000,-0.661,1.324,0.000,-0.280,0.561
0.090,19.607,0.000,0.001,0.000,-0.661,1.324,0.000,-0.281,0.562
0.091,19.605,0.000,0.001,0.000,-0.661,1.324,0.000,-0.282,0.564
0.092,19.603,0.000,0.001,0.000,-0.661,1.324,0.000,-0.283,0.565
0.093,19.601,0.000,0.001,0.000,-0.661,1.324,0.000,-0.283,0.567
0.094,19.599,0.000,0.001,0.000,-0.661,1.324,0.000,-0.284,0.568
0.096,19.597,0.000,0.001,0.000,-0.661,1.324,0.000,-0.285,0.570
0.097,19.595,0.000,0.001,0.000,-0.661,1.324,0.000,-0.286,0.571
0.098,19.593,0.000,0.001,0.000,-0.661,1.324,0.000,-0.286,0.573
0.099,19.590,0.000,0.001,0.000,-0.661,1.324,0.000,-0.287,0.574
0.100,19.588,0.000,0.001,0.000,-0.661,1.324,0.000,-0.288,0.576
0.101,19.586,0.000,0.001,0.000,-0.661,1.324,0.000,-0.289,0.577
0.102,19.584,0.000,0.001,0.000,-0.633,1.268,0.000,-0.289,0.579
0.104,19.582,0.000,0.001,0.000,-0.633,1.268,0.000,-0.290,0.580
0.105,19.580,0.000,0.001,0.000,-0.633,1.268,0.000,-0.291,0.582
0.106,19.578,0.000,0.001,0.000,-0.633,1.268,0.000,-0.292,0.583
0.107,19.576,0.000,0.001,0.000,-0.633,1.268,0.000,-0.292,0.585
